,ID,NAME,CATEGORY,ADDRESS_2,ADDRESS_1,LNG,LAT,REVIEW_COUNT,STAR_MEAN
162,11657766,스파밸리,워터파크,냉천리 27-9,대구 달성군 가창면,128.635313,35.7881169,4712,4.18
163,13559429,서변온천,"온천,스파",서변동 1786,대구 북구 서변동,128.59908,35.9214639,23,3.7
164,11557565,팔공에밀리아호텔,호텔,용수동 90-1,대구 동구 용수동,128.690125,35.991668,46,4.33
165,19588937,운암지 수변공원,"도시,테마공원",대구 북구 구암동 349,대구 북구 구암동,128.5684447,35.9321152,18,4.42
166,38414839,반야월연꽃단지,지역명소,대구 동구 대림동 378-1,대구 동구 대림동,128.743537,35.8686362,36,4.33
167,11597143,에코테마파크 대구숲,유원지,용계리 534-1,대구 달성군 가창면,128.6266283,35.7946937,1634,3.84
168,13343446,봉무공원,"도시,테마공원",대구 동구 봉무동 산135-2,대구 동구 봉무동,128.6503049,35.9191271,53,4.48
169,13072214,아르떼 수성랜드,테마파크,상동 463-2,대구 수성구 상동,128.6133686,35.8285898,784,4.39
170,16282635,엘리바덴 상인점,"온천,스파",상인동 1558,대구 달서구 상인동,128.5478293,35.8121606,5096,4.28
171,1843325135,곳스테이,호텔,지묘동 85-1,대구 동구 지묘동,128.64656,35.9450025,117,4.52
172,13291856,오페라모텔,모텔,동천동 899-2,대구 북구 동천동,128.5614981,35.9436744,16,4.28
173,19663133,율하체육공원,"도시,테마공원",율하동 1626,대구 동구 율하동,128.6907794,35.8597238,50,4.27
174,13449869,호텔 인터불고 엑스코,호텔,산격동 1674 인터불고 엑스코 호텔,대구 북구 산격동,128.6111857,35.906971,235,4.39
175,931543241,이탈리안썸머호텔 경북대점,호텔,복현동 402-7,대구 북구 복현동,128.613555,35.896066,17,4.44
176,16323771,모닝모텔,모텔,대명동 1644-1,대구 남구 대명동,128.57265,35.841515,13,4.04
177,16369227,두류공원인라인스케이트장,부속시설,성당동 195-11,대구 달서구 성당동,128.5628687,35.8449871,34,4.32
178,37026881,TOP,모텔,태전동 496-1,대구 북구 태전동,128.5477244,35.9156207,12,4.46
179,1346523827,소호102호텔,모텔,태전동  788-1,대구 북구 태전동,128.5476464,35.9144799,46,3.89
180,1290424207,코스모스모텔,모텔,산격4동 1203-33,대구 북구 산격4동,128.607262,35.901232,13,4.58
181,37111452,그랜드관광호텔,호텔,지저동 400-1,대구 동구 지저동,128.6375066,35.9005062,42,4.65
182,16003047,보잉 호텔,모텔,지저동 767-2,대구 동구 지저동,128.6369493,35.8951903,27,4.2
183,16004972,소호호텔,호텔,입석동 982-1,대구 동구 입석동,128.6445753,35.892924,64,4.16
184,32255049,성주식물원,"식물원,수목원",지저동 370,대구 동구 지저동,128.6383839,35.9036908,43,4.5
185,1719330696,브라운도트 호텔 대구동촌유원지점,0,효목동 1015,대구 동구 효목동,128.6506992,35.881689,41,4.05
186,16137040,영모텔,모텔,복현동 415,대구 북구 복현동,128.615525,35.896499,12,4.54
187,36028389,시네마모텔,모텔,복현동 415-6,대구 북구 복현동,128.6161991,35.8959969,34,4.1
