field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"4979",Point (128.57574410000000853 35.88982759999999672),"25246","7592224496",#0d0887,"3971811.943","461709.6004","3","128.5757441","35.8898276",,,POINT (461709.60039185424 3971811.9430234726)
"4992",Point (128.57865390000000616 35.88748069999999757),"25260","7592224526",#0d0887,"3971550.504","461971.0981","3","128.5786539","35.8874807",,,POINT (461971.0981208156 3971550.5040281108)
"4995",Point (128.58022569999999973 35.88643929999999926),"25263","6110888180",#0d0887,"3971434.388","462112.4668","3","128.5802257","35.8864393",,,POINT (462112.4668211374 3971434.388325082)
"4996",Point (128.58089110000000233 35.88617779999999868),"25264","6110895318",#0d0887,"3971405.127","462172.3997","3","128.5808911","35.8861778",,,POINT (462172.3997456052 3971405.1267348905)
"4997",Point (128.58139529999999695 35.88604680000000258),"25265","6110888182",#0d0887,"3971390.402","462217.8455","4","128.5813953","35.8860468",,,POINT (462217.84546083247 3971390.402059525)
"5021",Point (128.62893370000000459 35.87699090000000268),"25356","6245288266",#0d0887,"3970368.651","466504.7434","3","128.6289337","35.8769909",,,POINT (466504.7433565651 3970368.6512583257)
"5022",Point (128.62904750000001286 35.87707389999999918),"25357","8252015670",#0d0887,"3970377.818","466515.0508","3","128.6290475","35.8770739",,,POINT (466515.0507822012 3970377.81806038)
"5023",Point (128.62959480000000667 35.87733390000000355),"25358","8252015653",#0d0887,"3970406.468","466564.5637","3","128.6295948","35.8773339",,,POINT (466564.5636518825 3970406.4681447214)
"5024",Point (128.62912320000000932 35.87737039999999666),"25359","8252015676",#0d0887,"3970410.678","466522.0088","3","128.6291232","35.8773704",,,POINT (466522.00881526084 3970410.6778628915)
"5025",Point (128.6290711999999985 35.87711149999999805),"25360","8252015675",#0d0887,"3970381.98","466517.206","3","128.6290712","35.8771115",,,POINT (466517.20595364843 3970381.9802748887)
"5026",Point (128.59464070000001357 35.86980849999999776),"25840","8246713716",#0d0887,"3969584.321","463405.8789","3","128.5946407","35.8698085",,,POINT (463405.8789073721 3969584.3207409712)
"5030",Point (128.58549690000000965 35.88191020000000009),"25997","6356679489",#0d0887,"3970930.02","462586.1015","3","128.5854969","35.8819102",,,POINT (462586.10152605735 3970930.0200596373)
"5031",Point (128.58469990000000394 35.88137789999999683),"25998","6356679497",#0d0887,"3970871.286","462513.9115","4","128.5846999","35.8813779",,,POINT (462513.9114530397 3970871.2862231694)
"5032",Point (128.58568690000001311 35.88252880000000289),"26000","8244357017",#0d0887,"3970998.558","462603.5422","3","128.5856869","35.8825288",,,POINT (462603.5422096712 3970998.5583550953)
"5033",Point (128.58491140000000996 35.88203120000000013),"26001","6356679498",#0d0887,"3970943.665","462533.3098","4","128.5849114","35.8820312",,,POINT (462533.30979298963 3970943.664827893)
"5034",Point (128.5839309000000128 35.88223399999999685),"26002","6356679491",#0d0887,"3970966.534","462444.9032","3","128.5839309","35.882234",,,POINT (462444.9032376174 3970966.534308451)
"5035",Point (128.58441429999999173 35.88213400000000064),"26003","6356679495",#0d0887,"3970955.257","462488.4888","3","128.5844143","35.882134",,,POINT (462488.4888226907 3970955.257364191)
"5047",Point (128.60509559999999851 35.90030200000000349),"26193","6661461270",#0d0887,"3972962.594","464363.372","3","128.6050956","35.900302",,,POINT (464363.3719964402 3972962.593845163)
"5048",Point (128.6048099999999863 35.90028780000000097),"26194","6661461273",#0d0887,"3972961.123","464337.5926","3","128.60481","35.9002878",,,POINT (464337.59262462246 3972961.1230737465)
"5049",Point (128.60484170000000859 35.90008329999999859),"26195","6661522215",#0d0887,"3972938.43","464340.3616","3","128.6048417","35.9000833",,,POINT (464340.36155447655 3972938.4296730054)
"5051",Point (128.60323099999999386 35.89964319999999987),"26197","6661482006",#0d0887,"3972890.206","464194.8108","3","128.603231","35.8996432",,,POINT (464194.81078745704 3972890.2056262535)
"5052",Point (128.60389599999999177 35.90022479999999661),"26198","7966874670",#0d0887,"3972954.469","464255.0835","3","128.603896","35.9002248",,,POINT (464255.0834562564 3972954.4694976327)
"5063",Point (128.60458140000000071 35.8998589999999993),"26211","6661522212",#0d0887,"3972913.647","464316.7709","4","128.6045814","35.899859",,,POINT (464316.7709237559 3972913.6467818883)
"5064",Point (128.60459839999998621 35.89987359999999939),"26212","7966843317",#0d0887,"3972915.26","464318.3116","4","128.6045984","35.8998736",,,POINT (464318.31159245956 3972915.2599122277)
"5068",Point (128.6055067000000065 35.90959680000000276),"26315","9879107563",#0d0887,"3973993.365","464404.633","3","128.6055067","35.9095968",,,POINT (464404.63301224256 3973993.3645064933)
"5072",Point (128.62251430000000596 35.84052729999999798),"26340","6944139645",#0d0887,"3966326.591","465909.6683","3","128.6225143","35.8405273",,,POINT (465909.6683364211 3966326.590973378)
"5073",Point (128.62516429999999445 35.85378490000000085),"26768","7105477695",#0d0887,"3967796.105","466154.6218","3","128.6251643","35.8537849",,,POINT (466154.6217502472 3967796.105064798)
"5074",Point (128.62555050000000278 35.85374439999999652),"26769","7105477697",#0d0887,"3967791.48","466189.4762","1","128.6255505","35.8537444",,,POINT (466189.4762178531 3967791.4795463257)
"5075",Point (128.57519510000000196 35.88778059999999925),"26773","7592224497",#0d0887,"3971585.118","461659.0644","3","128.5751951","35.8877806",,,POINT (461659.06435745157 3971585.118275571)
"5076",Point (128.5772995000000094 35.88709539999999976),"26774","7592224527",#0d0887,"3971508.297","461848.6702","3","128.5772995","35.8870954",,,POINT (461848.6702376936 3971508.296886267)
"5077",Point (128.59349280000000704 35.86593690000000123),"26796","7709692103",#0d0887,"3969155.34","463300.4657","3","128.5934928","35.8659369",,,POINT (463300.46570534154 3969155.3399663474)
"5078",Point (128.59291029999999978 35.86549080000000345),"26797","8246644007",#0d0887,"3969106.08","463247.6713","3","128.5929103","35.8654908",,,POINT (463247.6712635409 3969106.0804313784)
"5079",Point (128.59289810000001353 35.86534400000000034),"26798","7709692110",#0d0887,"3969089.803","463246.5021","3","128.5928981","35.865344",,,POINT (463246.50205263443 3969089.8029864836)
