field_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"18565","5538022590",#0d0887,"3972052.638521893","463553.2348580002","3","128.59616","35.8920681",,,POINT (463553.2348580002 3972052.6385218925)
"18566","5538022583",#0d0887,"3972107.943247892","463408.0223468073","3","128.5945485","35.8925613",,,POINT (463408.0223468073 3972107.9432478915)
"18606","4636709530",#0d0887,"3969716.17491711","465169.0161263535","3","128.6141651","35.8710616",,,POINT (465169.0161263535 3969716.17491711)
"18607","4636725848",#0d0887,"3969749.441649082","465255.3969075098","3","128.6151205","35.8713646",,,POINT (465255.3969075098 3969749.441649082)
"18608","4636709556",#0d0887,"3969726.823488165","465233.5332967279","3","128.6148793","35.8711599",,,POINT (465233.5332967279 3969726.823488165)
"18609","4864256069",#0d0887,"3969646.21231533","465399.659226992","3","128.616723","35.870439",,,POINT (465399.659226992 3969646.21231533)
"18624","4636713367",#0d0887,"3969762.838232847","465292.5348830166","1","128.6155313","35.8714867",,,POINT (465292.5348830166 3969762.838232847)
"18625","4636772212",#0d0887,"3970334.3967363257","464901.8287503903","4","128.6111782","35.8766259",,,POINT (464901.8287503903 3970334.3967363257)
"18626","4636875422",#0d0887,"3970335.141397005","464912.60090745945","4","128.6112975","35.876633",,,POINT (464912.60090745945 3970335.141397005)
"18627","4636967156",#0d0887,"3970282.1841509854","464855.69151062006","3","128.6106694","35.8761535",,,POINT (464855.69151062006 3970282.1841509864)
"18628","4636797229",#0d0887,"3970241.964255583","464970.6176175986","1","128.6119443","35.875795",,,POINT (464970.6176175986 3970241.9642555825)
"18629","4636777180",#0d0887,"3970398.44859543","464860.3971620499","3","128.6107164","35.8772019",,,POINT (464860.3971620499 3970398.44859543)
"18639","4636776733",#0d0887,"3970256.796055479","464836.1190237367","3","128.6104537","35.8759239",,,POINT (464836.1190237367 3970256.7960554785)
"18640","5001251304",#0d0887,"3970238.0115248975","464821.0862943804","3","128.610288","35.875754",,,POINT (464821.0862943804 3970238.0115248975)
"18641","4636776737",#0d0887,"3970272.952959486","464848.1081348789","3","128.6105858","35.87607",,,POINT (464848.1081348789 3970272.952959486)
